movieId,tmdbId,title,original_title,overview,release_date,poster_path,backdrop_path,tmdb_vote,vote_count,popularity,dtype
10283,10283,Friday the 13th Part VIII: Jason Takes Manhattan,Friday the 13th Part VIII: Jason Takes Manhattan,"Jason ships out aboard a teen-filled ""love boat"" bound for New York, which he soon transforms into the ultimate voyage of the damned.",1989-07-28,/6ezOsZ9UzqGnbDokaatxdOWP6e9.jpg,/6U5sEPgkf3nnQC51kUUKcKzNSyR.jpg,4.952,1177,2.858,MOVIE
948,948,Halloween,Halloween,"Fifteen years after murdering his sister on Halloween Night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.",1978-10-24,/wijlZ3HaYMvlDTPqJoTCWKFkCPU.jpg,/sHI9xlFRWCJ38AIIfOqnGjuEvXz.jpg,7.554,6043,6.6304,MOVIE
11281,11281,Halloween II,Halloween II,"After failing to kill stubborn survivor Laurie and taking a bullet or six from former psychiatrist Dr. Sam Loomis, Michael Myers has followed Laurie to the Haddonfield Memorial Hospital, where she's been admitted for Myers' attempt on her life. The institution proves to be particularly suited to serial killers, however, as Myers cuts, stabs and slashes his way through hospital staff to reach his favorite victim.",1981-10-30,/xyBX7rFmNB4nM2RBW3042RQPFG2.jpg,/LKPqhxZa1t9om2TxyXKtdakg9A.jpg,6.577,2195,3.2165,MOVIE
10676,10676,Halloween III: Season of the Witch,Halloween III: Season of the Witch,"After a terrified toy salesman is mysteriously attacked and brought to the hospital, clutching the year's most popular Halloween mask, Dr. Daniel Challis sets out to investigate the strange events and finds himself thrust into a nightmarish conspiracy.",1982-10-22,/WABfdeaThFYXCySGIOvRNv2sSW.jpg,/eyOKqtgNeEEIp7zYMHnpISpsaS3.jpg,5.248,1509,2.19,MOVIE
11357,11357,Halloween 4: The Return of Michael Myers,Halloween 4: The Return of Michael Myers,"Ten years after his original massacre, the invalid Michael Myers awakens on Halloween Eve and returns to Haddonfield to kill his seven-year-old niece.",1988-10-21,/eFSOkXF9n9hsfGv45MDsPixiOyx.jpg,/zE4I9YvrrMUfwDZ3zLiN10eRZxG.jpg,6.175,2022,2.8314,MOVIE
11361,11361,Halloween 5: The Revenge of Michael Myers,Halloween 5: The Revenge of Michael Myers,"After lying in a coma for a year, Michael Myers awakens and stalks his way back to his small hometown in Illinois, intent on killing his niece, Jamie, who has been confined to a mental institution since his last attempt to slay her.",1989-10-12,/rYvP6yMXCIVHnkVtwGaAXFmpzkB.jpg,/ynpPgJrdHmEbFICkfPlHwQiPo04.jpg,5.308,1301,2.6052,MOVIE
36599,36599,Prom Night,Prom Night,"At a high school senior prom, a masked killer stalks four teenagers who were responsible for the accidental death of a classmate six years prior.",1980-07-18,/r2Ew7wUP96PsePEZseK6JqcPWY9.jpg,/sv4QooO9pBFsn95mA7ExXA2BBBS.jpg,5.7,484,6.3547,MOVIE
41769,41769,Prom Night IV: Deliver Us from Evil,Prom Night IV: Deliver Us from Evil,"Thirty years after slashing a Hamilton High couple on Prom Night 1957, psychotic priest Father Jonas gets loose from the chapel basement where the other church fathers had been secretly keeping him locked up and drugged.",1992-02-14,/tjq1iWClSBCfi3SjpVJblOU6q4F.jpg,/6SM3LbbLtAZFrQ8iXvtAFXElJji.jpg,4.7,81,0.2801,MOVIE
10585,10585,Child's Play,Child's Play,"After being shot in a toy store, a serial killer transfers his soul into a Good Guy doll. A mother then gifts it to her 6-year old son Andy, which unleashes terror upon the city.",1988-11-09,/wvpgvcWNkF2HLuTEMIM7K83MvZ.jpg,/edghRD7vw1XgWEpMLpGt1VSGB5w.jpg,6.738,3247,9.0347,MOVIE
11186,11186,Child's Play 2,Child's Play 2,"Chucky is reconstructed by a toy factory to dispel the negative publicity surrounding the doll, and tracks young Andy Barclay to a foster home where the chase begins again.",1990-11-09,/2tPQbPQeHEYAGoXFSW61IWNmoce.jpg,/fNkt4S5iXgBD4ea5bP9MZRHO8su.jpg,6.351,1977,3.6429,MOVIE
