movieId,tmdbId,title,original_title,overview,release_date,poster_path,backdrop_path,tmdb_vote,vote_count,popularity,dtype,originalLanguage
42580,42580,Life with Mikey,Life with Mikey,"Michael Chapman, a former child TV star, runs a struggling talent agency specilizing in child acts. When a young girl off the street puts on a real performance after he catches her picking his pocket, he may have just found the next big thing.",1993-06-04,/dKsvF5t5xsm17HG3GJzQQGJpJzP.jpg,/wvg3tUVZ4iv7xjBRlyyWyvzLshA.jpg,5.7,152,1.1491,MOVIE,en
22317,22317,Lightning Jack,Lightning Jack,"Lightning Jack Kane is an Australian outlaw in the wild west. During a bungled bank robbery he picks up mute Ben Doyle as a hostage. The two become good friends, with Jack teaching Ben how to rob banks, while they plan Jack's last heist.",1994-03-11,/4YoRERjKWO2442ezcvgEjAZuxWP.jpg,/pVRzlfalhzWmz87LH16Q2LmTXyu.jpg,5.555,137,5.6686,MOVIE,en
1413,1413,M. Butterfly,M. Butterfly,"In 1960s China, French diplomat Rene Gallimard falls in love with an opera singer, Song Liling – but Song is not at all who Gallimard thinks.",1993-10-01,/vfutnJ9sgpAtNuPemksd26gd5dC.jpg,/pxZG68WgGqijh1TjxLEJqTRt5jw.jpg,6.578,236,6.206,MOVIE,en
12121,12121,Made in America,Made in America,"A young black woman discovers that her father was a sperm donor, and if that wasn't bad enough, he's white.",1993-01-06,/1NLhOZN4AcTSvEPMI3HCjTVSfvy.jpg,/lTrHk6DznYoAGr7biPkdIbb4WGo.jpg,5.508,384,1.3687,MOVIE,en
2246,2246,Malice,Malice,"A tale about a happily married couple who would like to have children. Tracy teaches infants, Andy's a college professor. Things are never the same after she is taken to hospital and operated upon by Jed, a ""know all"" doctor.",1993-09-29,/6kcjUrhvHrXSLDLQHvcOvJmLSqs.jpg,/oBFoH4TozWBAxkHMBsQBBK5ONd8.jpg,6.3,500,2.3511,MOVIE,en
10502,10502,The Man Without a Face,The Man Without a Face,"Justin McLeod is a former teacher who lives as a recluse on the edge of town after his face is disfigured from an automobile accident ten years earlier, in which a boy was incinerated--and for which he was convicted of involuntary manslaughter. Also suspected of being a paedophile, he is befriended by Chuck, causing the town's suspicions and hostility to be ignited.",1993-08-25,/9dmH2jc6jwlZo90JQTFOx4XaBWt.jpg,/eq5mrlYcu142Z8io1bdVPwGxx34.jpg,6.5,546,1.7557,MOVIE,en
10440,10440,Manhattan Murder Mystery,Manhattan Murder Mystery,A middle-aged couple suspects foul play when their neighbor's wife suddenly drops dead.,1993-05-02,/zrzBIlMyAP7Ac9W5qAy5ssAUdK4.jpg,/px0d4Kzn9683SHLMS9K3e5OHk2H.jpg,7.254,1156,1.3193,MOVIE,en
9516,9516,Menace II Society,Menace II Society,A young street hustler attempts to escape the rigors and temptations of the ghetto in a quest for a better life.,1993-05-26,/guvPiEOeXwROpfCb2LkHkVEvOck.jpg,/s5PP0ryxAo12jzvPntSEybahpCw.jpg,7.492,858,4.3635,MOVIE,en
2320,2320,Executive Decision,Executive Decision,"Terrorists hijack a 747 inbound to Washington D.C., demanding the release of their imprisoned leader. Intelligence expert David Grant (Kurt Russell) suspects another reason and he is soon the reluctant member of a special assault team that is assigned to intercept the plane and hijackers.",1996-03-15,/hLjXkFr9fHlWzRVwu1T31QSVHRq.jpg,/ct9dN0QUh5SMAexvyQ9IaA7HpOP.jpg,6.332,1005,2.5218,MOVIE,en
5879,5879,In the Realm of the Senses,愛のコリーダ,"A passionate telling of the story of Sada Abe, a woman whose affair with her master led to an obsessive and ultimately destructive sexual relationship.",1976-09-15,/AiFQbgjgSXWPfbi9iIYT39iXWMW.jpg,/g3L6tOvJIRWSkxnhmoEW1SKEvW3.jpg,6.6,705,7.0572,MOVIE,ja
83718,83718,What Happened Was...,What Happened Was...,Jackie and Michael are coworkers at a large law firm. They decide to meet at Jackie's for dinner one night.,1994-09-09,/mke5aNX5cT6JIWk2ER4ng9dGNNL.jpg,/8EqsebNbijFWEdiW9poMZ9eXjWf.jpg,7.012,43,0.7401,MOVIE,en
11971,11971,Much Ado About Nothing,Much Ado About Nothing,"In this Shakespearean farce, Hero and her groom-to-be, Claudio, team up with Claudio's commanding officer, Don Pedro, the week before their wedding to hatch a matchmaking scheme. Their targets are sharp-witted duo Benedick and Beatrice -- a tough task indeed, considering their corresponding distaste for love and each other. Meanwhile, meddling Don John plots to ruin the wedding.",1993-05-07,/tvltGP6vYOkHdURag0jPSjhPUAV.jpg,/fe5a9dB8tylKUpcXq88ioXpNSsm.jpg,6.935,790,2.2189,MOVIE,en
31911,31911,Mr. Wonderful,Mr. Wonderful,"Electrician Gus gets the chance to fulfil a childhood dream by buying an old bowling-alley with some of his friends, but first he must find his ex-wife a new husband so he can stop paying alimony.",1993-10-15,/AtUjyMEXPR41JWZzGfHEzgmrrHq.jpg,/ryFVXPn95BESMqomIHElOyeyNzD.jpg,5.5,48,7.1768,MOVIE,en
788,788,Mrs. Doubtfire,Mrs. Doubtfire,"Loving but irresponsible dad Daniel Hillard, estranged from his exasperated spouse, is crushed by a court order allowing only weekly visits with his kids. When Daniel learns his ex needs a housekeeper, he gets the job -- disguised as a British nanny. Soon he becomes not only his children's best pal but the kind of parent he should have been from the start.",1993-11-24,/shHrSmXS5140o6sQzgzXxn3KqSm.jpg,/f9X91dUckoRzOZlw4XBUOfkN9FC.jpg,7.2,6487,11.0429,MOVIE,en
21450,21450,Naked,Naked,An unemployed Brit vents his rage on unsuspecting strangers as he embarks on a nocturnal London odyssey.,1993-08-06,/xMYP4uaNeyPmX4FQ2xxWk2eIN6K.jpg,/uIh3mW3AuSM7ww7NYtvSWDQ1zc7.jpg,7.2,642,3.5335,MOVIE,en
